Amount,Day,Reason
55,1,Food
180,2,Food
130,3,Entertainment
40,4,Internet Service
65,5,Entertainment
95,6,Food
150,7,Food
75,8,Internet Service
20,9,Food
200,10,Entertainment
105,11,Internet Service
30,12,Food
190,13,Food
50,14,Internet Service
85,15,Entertainment
60,16,Internet Service
70,17,Food
120,18,Food
25,19,Entertainment
45,20,Food
135,21,Internet Service
80,22,Food
95,23,Entertainment
180,24,Food
55,25,Internet Service
90,26,Food
45,27,Entertainment
140,28,Internet Service
40,29,Food
170,30,Food
65,31,Entertainment
60,1,Internet Service
35,2,Entertainment
100,3,Food
20,4,Food
125,5,Food
75,6,Internet Service
45,8,Food
85,9,Entertainment
160,11,Food
50,14,Entertainment
95,16,Food
30,19,Food
70,20,Internet Service
55,22,Entertainment
160,25,Food
110,28,Food
45,29,Entertainment
100,30,Internet Service
200,31,Food
